layer,x_mm,y_mm,shape,size_x_mm,size_y_mm,function,net
F.Cu,108.0,85.25,C,1.5,1.5,ComponentPad,island_049
F.Cu,113.0,85.25,C,1.5,1.5,ComponentPad,island_050
F.Cu,108.0,99.75,R,2.0,2.0,ComponentPad,ENCL_A
F.Cu,113.0,99.75,C,2.0,2.0,ComponentPad,ENCL_B
F.Cu,110.5,99.75,C,2.0,2.0,ComponentPad,island_051
F.Cu,104.9,92.25,R,2.0,3.2,ComponentPad,island_052
F.Cu,116.1,92.25,R,2.0,3.2,ComponentPad,island_053
F.Cu,144.6,135.05,R,2.0,1.1,"SMDPad,CuDef",LED_1_B
F.Cu,149.4,135.05,R,2.0,1.1,"SMDPad,CuDef",island_002
F.Cu,144.6,136.75,R,2.0,1.1,"SMDPad,CuDef",LED_1_R
F.Cu,149.4,136.75,R,2.0,1.1,"SMDPad,CuDef",island_006
F.Cu,144.6,138.45,R,2.0,1.1,"SMDPad,CuDef",LED_1_G
F.Cu,149.4,138.45,R,2.0,1.1,"SMDPad,CuDef",island_007
F.Cu,194.6,135.3,R,2.0,1.1,"SMDPad,CuDef",LED_2_B
F.Cu,199.4,135.3,R,2.0,1.1,"SMDPad,CuDef",island_009
F.Cu,194.6,137.0,R,2.0,1.1,"SMDPad,CuDef",LED_2_R
F.Cu,199.4,137.0,R,2.0,1.1,"SMDPad,CuDef",island_008
F.Cu,194.6,138.7,R,2.0,1.1,"SMDPad,CuDef",LED_2_G
F.Cu,199.4,138.7,R,2.0,1.1,"SMDPad,CuDef",island_010
F.Cu,170.963,131.0,RoundRect,1.0,1.0,ComponentPad,island_054
F.Cu,172.863,131.0,C,1.0,1.0,ComponentPad,island_037
F.Cu,231.75,85.25,C,1.5,1.5,ComponentPad,island_055
F.Cu,236.75,85.25,C,1.5,1.5,ComponentPad,island_056
F.Cu,231.75,99.75,R,2.0,2.0,ComponentPad,ENCR_A
F.Cu,236.75,99.75,C,2.0,2.0,ComponentPad,ENCR_B
F.Cu,234.25,99.75,C,2.0,2.0,ComponentPad,island_057
F.Cu,228.65,92.25,R,2.0,3.2,ComponentPad,island_058
F.Cu,239.85,92.25,R,2.0,3.2,ComponentPad,island_059
F.Cu,127.5,121.75,C,2.0,2.0,ComponentPad,TAC_SWITCH_1
