layer,x1_mm,y1_mm,x2_mm,y2_mm,width_mm,length_mm,net
F.Cu,146.75,72.25,168.55,72.25,0.1,21.8,AUDIO_OUT_L
F.Cu,168.55,72.25,170.4,70.4,0.1,2.62,AUDIO_OUT_L
F.Cu,153.0,157.95,152.456,158.494,0.1,0.77,AUDIO_OUT_L
F.Cu,152.456,158.494,152.456,160.62,0.1,2.13,AUDIO_OUT_L
F.Cu,145.301,70.801,146.75,72.25,0.1,2.05,AUDIO_OUT_L
F.Cu,95.199,70.801,145.301,70.801,0.1,50.1,AUDIO_OUT_L
F.Cu,95.0,71.0,95.199,70.801,0.1,0.28,AUDIO_OUT_L
F.Cu,95.0,158.75,95.0,71.0,0.1,87.75,AUDIO_OUT_L
F.Cu,98.0,161.75,95.0,158.75,0.1,4.24,AUDIO_OUT_L
F.Cu,230.75,150.699,230.801,150.699,0.1,0.05,USART1_TX
F.Cu,234.935,104.685,234.75,104.5,0.1,0.26,USART1_TX
F.Cu,230.898,150.602,230.898,149.0,0.1,1.6,USART1_TX
F.Cu,230.986,134.986,234.935,131.038,0.1,5.58,USART1_TX
F.Cu,200.75,96.25,201.25,95.75,0.1,0.71,USART1_TX
F.Cu,226.25,102.25,225.398,101.398,0.1,1.2,USART1_TX
F.Cu,226.403,102.403,226.25,102.25,0.1,0.22,USART1_TX
F.Cu,210.75,150.2,211.249,150.699,0.1,0.71,USART1_TX
F.Cu,230.898,149.0,230.898,135.075,0.1,13.93,USART1_TX
F.Cu,225.398,96.648,225.0,96.25,0.1,0.56,USART1_TX
F.Cu,232.7,102.403,226.403,102.403,0.1,6.3,USART1_TX
F.Cu,234.75,104.5,234.5,104.25,0.1,0.35,USART1_TX
F.Cu,225.398,100.949,225.398,96.648,0.1,4.3,USART1_TX
F.Cu,230.801,150.699,230.898,150.602,0.1,0.14,USART1_TX
F.Cu,234.5,104.203,232.7,102.403,0.1,2.55,USART1_TX
F.Cu,234.935,131.038,234.935,131.0,0.1,0.04,USART1_TX
F.Cu,201.25,95.75,201.25,78.75,0.1,17.0,USART1_TX
