x_mm,y_mm,drill_mm,pad_mm,net
92.5,157.5,0.3,0.6,AUDIO_OUT_R
97.25,159.084,0.3,0.6,AUDIO_OUT_R
98.0,161.75,0.3,0.6,AUDIO_OUT_L
102.0,73.0,0.3,0.6,TAC_SHIFT_L
109.25,159.084,0.3,0.6,AUDIO_OUT_R
111.5,146.15,0.3,0.6,SD_CMD
112.25,147.35,0.3,0.6,SD_CK
112.5,141.5,0.3,0.6,SD_D2
112.75,144.0,0.3,0.6,SD_D3
113.25,148.0,0.3,0.6,SD_D0
115.0,148.0,0.3,0.6,SD_D0
115.5,146.25,0.3,0.6,SD_CMD
115.75,147.25,0.3,0.6,SD_CK
117.0,144.0,0.3,0.6,SD_D3
117.75,141.5,0.3,0.6,SD_D2
120.25,104.75,0.3,0.6,ENCL_A
127.75,141.7,0.3,0.6,TAC_SWITCH_1
132.75,69.95,0.3,0.6,USB_IN_MCU_N
132.75,71.351,0.3,0.6,USB_IN_MCU_N
133.25,73.5,0.3,0.6,USB_IN_MCU_P
134.5,69.95,0.3,0.6,USB_IN_MCU_N
137.25,145.75,0.3,0.6,+3V3_D
142.5,137.0,0.3,0.6,LED_1_R
145.25,74.55,0.3,0.6,USB_IN_MCU_N
146.25,74.0,0.3,0.6,USB_IN_MCU_P
147.55,140.5,0.3,0.6,LED_1_R
149.5,132.75,0.3,0.6,island_006
149.5,140.5,0.3,0.6,island_007
151.75,138.5,0.3,0.6,island_002
153.0,157.95,0.3,0.6,AUDIO_OUT_L
155.25,149.75,0.3,0.6,AUDIO_MIC_IN_R
158.25,150.25,0.3,0.6,AUDIO_IN_L
160.25,150.5,0.3,0.6,USART1_RX
163.0,151.0,0.3,0.6,USART1_TX
165.5,84.75,0.3,0.6,+3V3_D
165.5,151.5,0.3,0.6,I2C_SDA
167.25,121.25,0.3,0.6,island_004
168.5,152.0,0.3,0.6,I2C_SCL
168.6,122.0,0.3,0.6,+3V3_D
169.25,121.337,0.3,0.6,island_004
173.0,152.75,0.3,0.6,TAC_SHIFT_R
174.0,84.25,0.3,0.6,+3V3_D
175.25,153.75,0.3,0.6,ENCR_B
175.75,95.5,0.3,0.6,I2C_SDA
176.0,121.0,0.3,0.6,island_003
176.75,120.0,0.3,0.6,island_003
177.75,153.0,0.3,0.6,ENCR_A
180.0,156.05,0.3,0.6,SD_CK
182.75,156.05,0.3,0.6,SD_CMD
185.25,97.5,0.3,0.6,AUDIO_IN_L
185.25,156.65,0.3,0.6,SD_D0
186.25,122.0,0.3,0.6,+3V3_D
186.75,75.75,0.3,0.6,USB_IN_MCU_N
187.165,126.5,0.3,0.6,TAC_SWITCH_2
187.25,75.0,0.3,0.6,USB_IN_MCU_P
187.5,157.25,0.3,0.6,SD_D1
189.5,120.75,0.3,0.6,+3V3_D
189.75,154.45,0.3,0.6,SD_D2
190.25,117.5,0.3,0.6,+3V3_D
192.0,79.5,0.3,0.6,+3V3_D
192.5,155.0,0.3,0.6,SD_D3
198.0,144.0,0.3,0.6,LED_2_R
198.0,147.55,0.3,0.6,LED_2_R
199.0,141.25,0.3,0.6,island_010
199.0,144.0,0.3,0.6,LED_2_B
199.0,147.25,0.3,0.6,LED_2_B
199.5,132.75,0.3,0.6,island_008
200.75,96.25,0.3,0.6,USART1_TX
200.75,133.5,0.3,0.6,island_009
201.25,78.75,0.3,0.6,USART1_TX
207.572,150.394,0.3,0.6,AUDIO_MIC_IN_R
208.0,94.0,0.3,0.6,USART1_RX
208.0,97.0,0.3,0.6,USART1_RX
208.5,150.695,0.3,0.6,AUDIO_IN_L
209.981,151.697,0.3,0.6,I2C_SCL
210.0,149.6,0.3,0.6,USART1_RX
210.25,152.45,0.3,0.6,TAC_SHIFT_R
210.75,150.2,0.3,0.6,USART1_TX
210.75,151.0,0.3,0.6,I2C_SDA
210.9,153.0,0.3,0.6,ENCR_A
210.9,154.0,0.3,0.6,ENCR_B
213.25,80.5,0.3,0.6,island_005
216.225,157.5,0.3,0.6,+3V3_A
216.5,80.5,0.3,0.6,island_005
218.5,157.5,0.3,0.6,+3V3_A
220.0,161.9,0.3,0.6,island_001
220.5,159.75,0.3,0.6,island_001
224.298,98.0,0.3,0.6,AUDIO_IN_L
224.848,97.05,0.3,0.6,USART1_RX
225.0,96.25,0.3,0.6,USART1_TX
225.45,95.55,0.3,0.6,I2C_SDA
225.75,94.75,0.3,0.6,I2C_SCL
233.5,124.0,0.3,0.6,AUDIO_MIC_IN_R
